,cuantil_cant_x,marca,modelo
0,1,TOYOTA,Hilux
1,1,TOYOTA,Corolla
2,1,TOYOTA,Etios
3,3,TOYOTA,Rav 4
4,4,TOYOTA,Yaris
5,6,TOYOTA,Land Cruiser
6,7,TOYOTA,Hiace
7,7,TOYOTA,Camry
8,7,TOYOTA,86
9,7,TOYOTA,Prius
10,8,TOYOTA,Corolla Cross
11,8,TOYOTA,Innova
12,8,TOYOTA,C-HR Hybrid
13,9,TOYOTA,Avensis
14,1,VOLKSWAGEN,Amarok
15,1,VOLKSWAGEN,Gol Trend
16,1,VOLKSWAGEN,Vento
17,1,VOLKSWAGEN,Gol
18,1,VOLKSWAGEN,Suran
19,1,VOLKSWAGEN,Fox
20,1,VOLKSWAGEN,Golf
21,2,VOLKSWAGEN,Up
22,2,VOLKSWAGEN,Voyage
23,2,VOLKSWAGEN,Bora
24,2,VOLKSWAGEN,Saveiro
25,2,VOLKSWAGEN,Polo
26,3,VOLKSWAGEN,Passat
27,3,VOLKSWAGEN,Scirocco
28,4,VOLKSWAGEN,Tiguan
29,4,VOLKSWAGEN,CrossFox
30,4,VOLKSWAGEN,T-Cross
31,4,VOLKSWAGEN,Virtus
32,5,VOLKSWAGEN,CC
33,5,VOLKSWAGEN,Tiguan Allspace
34,5,VOLKSWAGEN,Touareg
35,6,VOLKSWAGEN,Nivus
36,6,VOLKSWAGEN,New Beetle
37,6,VOLKSWAGEN,Sharan
38,6,VOLKSWAGEN,The Beetle
39,7,VOLKSWAGEN,Taos
40,8,VOLKSWAGEN,Caddy
41,10,VOLKSWAGEN,Transporter
42,10,VOLKSWAGEN,Santana
43,1,PEUGEOT,208
44,1,PEUGEOT,207
45,1,PEUGEOT,308
46,1,PEUGEOT,Partner
47,1,PEUGEOT,408
48,2,PEUGEOT,206
49,2,PEUGEOT,307
50,2,PEUGEOT,2008
51,3,PEUGEOT,3008
52,5,PEUGEOT,508
53,5,PEUGEOT,5008
54,5,PEUGEOT,Expert
55,5,PEUGEOT,Boxer
56,5,PEUGEOT,301
57,6,PEUGEOT,407
58,7,PEUGEOT,4008
59,8,PEUGEOT,Hoggar
60,9,PEUGEOT,Traveller
61,9,PEUGEOT,807
62,1,FORD,Fiesta
63,1,FORD,Ranger
64,1,FORD,EcoSport
65,1,FORD,Focus III
66,1,FORD,KA
67,1,FORD,Focus
68,3,FORD,Mondeo
69,3,FORD,Kuga
70,4,FORD,F-150
71,5,FORD,F-100
72,5,FORD,Transit
73,7,FORD,Mustang
74,7,FORD,S-Max
75,8,FORD,Bronco
76,9,FORD,Courier
77,9,FORD,Territory
78,1,RENAULT,Kangoo
79,1,RENAULT,Clio Mío
80,1,RENAULT,Sandero
81,1,RENAULT,Duster
82,2,RENAULT,Sandero Stepway
83,2,RENAULT,Logan
84,2,RENAULT,Fluence
85,2,RENAULT,Master
86,2,RENAULT,Duster Oroch
87,3,RENAULT,Kwid
88,3,RENAULT,Mégane
89,3,RENAULT,Captur
90,4,RENAULT,Symbol
91,4,RENAULT,Koleos
92,6,RENAULT,Scénic
93,6,RENAULT,Mégane III
94,6,RENAULT,Kangoo II Express
95,7,RENAULT,Alaskan
96,7,RENAULT,Mégane II
97,8,RENAULT,Latitude
98,10,RENAULT,Laguna
99,1,FIAT,Palio
100,1,FIAT,Siena
101,2,FIAT,Fiorino
102,2,FIAT,Uno
103,2,FIAT,500
104,2,FIAT,Punto
105,2,FIAT,Toro
106,2,FIAT,Strada
107,3,FIAT,Cronos
108,3,FIAT,Mobi
109,3,FIAT,Argo
110,3,FIAT,Idea
111,4,FIAT,Qubo
112,4,FIAT,Grand Siena
113,4,FIAT,Weekend
114,4,FIAT,Ducato
115,5,FIAT,Dobló
116,5,FIAT,Linea
117,6,FIAT,Bravo
118,7,FIAT,500X
119,7,FIAT,Tipo
120,7,FIAT,Palio Adventure
121,9,FIAT,Stilo
122,10,FIAT,Fiorino QUBO
123,1,CHEVROLET,Onix
124,1,CHEVROLET,Classic
125,1,CHEVROLET,Cruze
126,1,CHEVROLET,S-10
127,1,CHEVROLET,Tracker
128,2,CHEVROLET,Corsa II
129,2,CHEVROLET,Prisma
130,2,CHEVROLET,Agile
131,2,CHEVROLET,Celta
132,2,CHEVROLET,Spin
133,3,CHEVROLET,Meriva
134,3,CHEVROLET,Corsa Classic
135,3,CHEVROLET,Astra II
136,3,CHEVROLET,Sonic
137,3,CHEVROLET,Aveo
138,3,CHEVROLET,Captiva
139,4,CHEVROLET,Vectra
140,4,CHEVROLET,Cobalt
141,4,CHEVROLET,Montana
142,5,CHEVROLET,Zafira
143,5,CHEVROLET,Spark
144,5,CHEVROLET,TrailBlazer
145,6,CHEVROLET,Camaro
146,7,CHEVROLET,Blazer
147,8,CHEVROLET,Equinox
148,9,CHEVROLET,Avalanche
149,9,CHEVROLET,Corvette
150,1,CITROEN,C3
151,1,CITROEN,Berlingo
152,2,CITROEN,C4 Lounge
153,2,CITROEN,C4
154,3,CITROEN,Xsara Picasso
155,3,CITROEN,Grand C4 Spacetourer
156,4,CITROEN,C3 Picasso
157,4,CITROEN,C4 Cactus
158,4,CITROEN,C4 Aircross
159,5,CITROEN,C-ELYSÉE
160,5,CITROEN,C4 Picasso
161,5,CITROEN,C5
162,6,CITROEN,C4 Grand Picasso
163,7,CITROEN,Jumper
164,8,CITROEN,Jumpy
165,9,CITROEN,Spacetourer
166,9,CITROEN,C5 Aircross
167,10,CITROEN,C4 Spacetourer
168,10,CITROEN,C3 AirCross
169,1,AUDI,A3
170,2,AUDI,A4
171,2,AUDI,A1
172,3,AUDI,A5
173,3,AUDI,Q5
174,4,AUDI,TT
175,4,AUDI,Q3
176,6,AUDI,A6
177,6,AUDI,Q2
178,6,AUDI,Q7
179,6,AUDI,Allroad
180,8,AUDI,A7
181,9,AUDI,R8
182,10,AUDI,Q8
183,2,JEEP,Renegade
184,3,JEEP,Compass
185,3,JEEP,Grand Cherokee
186,4,JEEP,Wrangler
187,5,JEEP,Cherokee
188,2,BMW,Serie 3
189,2,BMW,Serie 1
190,4,BMW,X1
191,4,BMW,Serie 2
192,5,BMW,X6
193,5,BMW,X5
194,5,BMW,Serie 5
195,5,BMW,X3
196,6,BMW,X4
197,6,BMW,Serie 4
198,8,BMW,Z4
199,9,BMW,Serie 6
200,10,BMW,Serie 7
201,2,HONDA,Civic
202,2,HONDA,Fit
203,2,HONDA,CRV
204,2,HONDA,HR-V
205,3,HONDA,City
206,5,HONDA,Accord
207,9,HONDA,WR-V
208,3,DODGE,Journey
209,4,DODGE,Ram
210,3,SUZUKI,Fun
211,5,SUZUKI,Grand Vitara
212,7,SUZUKI,Swift
213,9,SUZUKI,New Vitara
214,10,SUZUKI,Baleno
215,10,SUZUKI,Jimny
216,3,RAM,1500
217,7,RAM,2500
218,3,NISSAN,Kicks
219,3,NISSAN,Tiida
220,3,NISSAN,Frontier
221,4,NISSAN,Versa
222,4,NISSAN,Sentra
223,4,NISSAN,March
224,5,NISSAN,X-Trail
225,5,NISSAN,Note
226,7,NISSAN,NP300
227,7,NISSAN,X-Terra
228,9,NISSAN,Murano
229,9,NISSAN,Teana
230,10,NISSAN,Altima
231,3,CHERY,Tiggo
232,4,CHERY,QQ
233,5,CHERY,Tiggo 3
234,6,CHERY,Tiggo 5
235,6,CHERY,Fulwin
236,6,CHERY,Tiggo 2
237,6,CHERY,Face
238,8,CHERY,Arrizo 5
239,9,CHERY,Skin
240,10,CHERY,Tiggo 4
241,3,HYUNDAI,Tucson
242,5,HYUNDAI,Santa Fe
243,5,HYUNDAI,H1
244,6,HYUNDAI,Veloster
245,7,HYUNDAI,i10
246,7,HYUNDAI,Creta
247,8,HYUNDAI,i30
248,9,HYUNDAI,Atos Prime
249,9,HYUNDAI,Grand Santa Fe
250,10,HYUNDAI,Veracruz
251,10,HYUNDAI,Terracan
252,10,HYUNDAI,Ioniq
253,3,MERCEDES BENZ,Clase A
254,5,MERCEDES BENZ,Vito
255,5,MERCEDES BENZ,Clase GLK
256,5,MERCEDES BENZ,Clase GLC
257,6,MERCEDES BENZ,Clase GLA
258,6,MERCEDES BENZ,Clase ML
259,6,MERCEDES BENZ,Clase CLA
260,7,MERCEDES BENZ,Clase GLE
261,8,MERCEDES BENZ,Clase C
262,9,MERCEDES BENZ,Clase CLK
263,9,MERCEDES BENZ,Viano
264,9,MERCEDES BENZ,Clase GLB
265,9,MERCEDES BENZ,Clase GL
266,10,MERCEDES BENZ,Clase CLC
267,10,MERCEDES BENZ,Clase CLS
268,10,MERCEDES BENZ,Clase E
269,4,KIA,Sorento
270,4,KIA,Sportage
271,6,KIA,Cerato
272,6,KIA,Carnival
273,6,KIA,Soul
274,6,KIA,Picanto
275,7,KIA,Rio
276,9,KIA,Rondo
277,10,KIA,Mohave
278,10,KIA,Carens
279,10,KIA,Opirus
280,4,DS,DS3
281,7,DS,DS7
282,7,DS,DS4
283,4,MITSUBISHI,L-200
284,7,MITSUBISHI,Lancer
285,8,MITSUBISHI,Montero
286,8,MITSUBISHI,Outlander
287,4,MINI,Cooper
288,5,ALFA ROMEO,Mito
289,5,ALFA ROMEO,Giulietta
290,9,ALFA ROMEO,147
291,10,ALFA ROMEO,159
292,10,ALFA ROMEO,Giulia
293,10,ALFA ROMEO,Stelvio
294,10,ALFA ROMEO,GT
295,5,CHRYSLER,PT Cruiser
296,9,CHRYSLER,Town & Country
297,9,CHRYSLER,Caravan
298,10,CHRYSLER,300
299,10,CHRYSLER,Sebring
300,6,SEAT,León
301,8,SEAT,Ibiza
302,10,SEAT,Cordoba
303,6,SMART,Fortwo
304,7,SMART,Forfour
305,6,SUBARU,Forester
306,7,SUBARU,XV
307,7,SUBARU,Outback
308,8,SUBARU,Impreza
309,9,SUBARU,Tribeca
310,9,SUBARU,Legacy
311,10,SUBARU,WRX
312,6,VOLVO,XC60
313,7,VOLVO,S60
314,7,VOLVO,C30
315,8,VOLVO,S40
316,8,VOLVO,V40
317,9,VOLVO,V70
318,10,VOLVO,XC90
319,10,VOLVO,XC70
320,10,VOLVO,S80
321,7,LAND ROVER,Range Rover
322,8,LAND ROVER,Freelander
323,8,LAND ROVER,Discovery
324,9,LAND ROVER,Defender
325,7,LIFAN,MyWay
326,8,LIFAN,X50
327,8,LIFAN,X60
328,9,LIFAN,Foison
329,8,GEELY,LC
330,8,GEELY,Emgrand X7 Sport
331,9,GEELY,Emgrand GS
332,9,GEELY,515
333,8,PORSCHE,Cayenne
334,9,PORSCHE,Cayman
335,9,PORSCHE,Macan
336,10,PORSCHE,Boxster
337,10,PORSCHE,911
338,10,PORSCHE,Panamera
339,9,JAC,S2
340,10,JAC,T6
341,10,JAC,S3
342,9,HAVAL,H6
343,10,HAVAL,H2
344,10,HAVAL,H1
345,10,LEXUS,NX
346,10,LEXUS,IS
347,10,SHINERAY,X30
